x_1_2,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9
9685,,6,,,,,,
NAME,,DESCRIPTION,parental,parental2,lm21,lm22,lm23,lm24
202429_s_at,'CYTH1',na,1865.7,1853.1,2140.7,2198.1,1978.3,1357.7
202430_s_at,'NOL7',na,165.6,281.1,260.3,225.7,232.2,390.3
202431_s_at,'PPP2R1B',na,1847.1,2318.6,1635.4,1359.1,1433.3,1739
202432_at,'PPP2R1B',na,870.9,987.8,1043,1263.5,1362.2,1731.8
202433_at,'PPP2R1B',na,1875.8,1617.1,1977.3,1826.4,1873.5,1618.1
202435_s_at,'DDIT4',na,1346.1,1350.7,959.8,990.2,453.6,1377.1
202436_s_at,'NIT1',na,3509.9,3403.4,2231.5,2338.3,1407.1,2526.4
202437_s_at,'CDC23',na,2009.4,1956,2024.2,1811.7,915.4,2239.2
202438_x_at,'UNC13B',na,134.4,111.6,183.7,160.1,143.5,159.5
202439_s_at,'EPHB4',na,205.8,200.2,361.8,237.3,337.6,388.8
202440_s_at,'SRSF3',na,486.4,409,379.1,297.6,303,408.3
202441_at,'E2F1',na,2411.1,3189.9,3099.6,1746.9,2468.2,2914.8
202442_at,'NUP88',na,3385,3810.8,3763.3,3930.5,3345.2,3208.7
202443_x_at,'CTSS',na,2598.9,2560.9,1831.5,1907.6,1633.5,2003.2
202444_s_at,'LSM5',na,990.6,1183.3,759.2,535.1,742.9,892.7
202445_s_at,'LSM5',na,120.8,139.6,103.8,92.1,136.3,131.2
202446_s_at,'NBN',na,666.5,647.6,828.4,686.7,679.4,828.2
202447_at,'NBN',na,820,651.9,620.6,871.7,789.7,722.3
202448_s_at,'NBN',na,258.2,308.7,292.1,309.6,306.3,261.3
202449_s_at,'WFS1',na,814.6,916.8,1129,1300.7,1185.3,946.2
202451_at,'EPM2AIP1 /// TRANK1',na,795.4,903.1,1110.6,1239.2,1096.5,1109.1
202453_s_at,'ADGRE5',na,921.3,841.5,766.7,802.2,808.8,890.7
202454_s_at,'MSH6',na,100.1,74.5,93.2,79.5,108.1,118
202457_s_at,'ADM',na,1775.1,1946.5,1717.9,1887.9,1574.4,1423.6
202458_at,'FAM20B',na,4540.1,4142.2,5447.5,4752.9,5221.1,6575.3
202459_s_at,'FAM20B',na,917.3,868.2,888.9,702.4,831.4,686.6
202460_s_at,'HSPE1-MOB4 /// MOB4',na,778,639.8,749.8,550,627,513.6
202461_at,'MOB4',na,1497.2,1814.3,2164,2291.8,2429.9,2036.6
202462_s_at,'ANK2',na,1429.3,1355.1,1660.6,1672.6,2286.5,1991.4
202463_s_at,'ANK2',na,591.4,370.4,636.4,490.3,549.5,567.3
202464_s_at,'GCLC',na,393.8,335.8,563,580,627,638.8
202466_at,'GCLC',na,1643.9,1649.8,1395.1,1348.5,1237.4,1299.7
202467_s_at,'PLAGL2',na,1992.4,1597.7,1611.2,1697.2,1637.4,2027.4
202468_s_at,'PLAGL2',na,3495.9,4087.6,6198,5799.6,6230.1,4423.1
202469_s_at,'PIN1',na,1354.1,1137,1181.6,1354.6,1172.2,1427.5
202470_s_at,'DDT /// DDTL',na,162.4,123.9,174.3,136.5,127.6,107.6
202471_s_at,'SUCLA2',na,1354.5,1039.1,1199.8,1543.3,1272.3,1268.6
202474_s_at,'YES1',na,813.6,974.7,587.6,610.6,544.5,620.7
202475_at,'YES1',na,3428.5,3330.7,2594.8,2482.6,2180.8,2653.6
202476_s_at,'HK2',na,365.1,322.4,249.3,249.4,352.2,284.8
202477_s_at,'SOX9',na,1389.8,1199,1407.3,1138.6,1656.9,1054.8
202478_at,'SOX9',na,946.7,926.3,953.6,889.2,713.8,580.2
